EmpID,Age,GenderCode,AgeRange,CountryID,NoEmployees,NoEmployeesRange,SelfEmployed,FamilyHistory,Treatment,WorkInterfere,RemoteWork,TechCompany,Benefits,CareOptions,WellnessProgram,SeekHelp,Anonymous,Leave,MentalHealthConsequences,PhysicalHealthConsequences,Coworkers,Supervisor,MentalHealthInterview,PhysicalHealthInterview,MentalVsPhysical,ObsConsequences
322,29,0,1,46,More than 1000,5,No,No,Yes,Sometimes,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Yes,No,Some of them,Some of them,No,Maybe,No,No
323,32,0,2,46,500-1000,4,No,No,No,Never,No,Yes,Yes,Not sure,Don't know,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
324,24,1,1,46,More than 1000,5,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
325,25,0,1,46,6-25,1,No,No,Yes,Rarely,No,Yes,Yes,No,Don't know,No,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No
326,25,0,1,46,More than 1000,5,No,No,No,,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No
327,30,1,1,46,More than 1000,5,No,No,No,Never,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,No,Some of them,No,No,Don't know,No
328,25,0,1,46,More than 1000,5,No,Yes,Yes,Sometimes,No,Yes,Don't know,Not sure,Don't know,Yes,Don't know,Don't know,No,No,Yes,Yes,No,No,Yes,No
329,30,0,1,46,1-5,0,Yes,No,No,Never,Yes,Yes,No,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
330,33,0,2,18,1-5,0,Yes,Yes,Yes,Rarely,No,No,No,No,No,No,Don't know,Somewhat difficult,Yes,Yes,No,No,Maybe,No,Yes,Yes
331,24,0,1,46,26-100,2,No,No,No,,No,Yes,Yes,Not sure,Yes,Yes,Yes,Very easy,No,No,Some of them,Some of them,No,Maybe,Yes,No
332,25,0,1,8,More than 1000,5,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,No,No,No,No,No
333,31,0,2,46,100-500,3,No,No,No,,No,No,Don't know,No,No,No,Yes,Somewhat easy,Maybe,No,No,No,No,Yes,No,No
334,45,0,2,22,1-5,0,Yes,No,Yes,Often,No,Yes,No,No,No,No,Don't know,Very difficult,No,No,No,No,No,No,Don't know,No
335,29,0,1,36,6-25,1,No,No,No,,Yes,No,No,Yes,No,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,No,No
336,46,0,2,46,26-100,2,No,No,No,Never,No,Yes,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No
337,30,0,1,45,26-100,2,No,No,Yes,Sometimes,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Maybe,No,No,No,Maybe,Don't know,No
338,29,1,1,46,More than 1000,5,Yes,No,No,Sometimes,No,Yes,Yes,Not sure,Don't know,No,Don't know,Very easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No
339,24,0,1,46,More than 1000,5,No,No,No,,No,Yes,Yes,Yes,Don't know,Don't know,Yes,Don't know,Yes,No,No,No,No,Maybe,Don't know,No
340,29,0,1,46,26-100,2,No,No,No,,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No
341,35,0,2,46,26-100,2,No,No,No,,No,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,No,No,No
342,33,1,2,46,26-100,2,No,Yes,No,Sometimes,Yes,Yes,No,Yes,No,No,Don't know,Very difficult,Yes,Maybe,Some of them,Some of them,No,Maybe,No,No
343,27,0,1,46,More than 1000,5,No,No,No,Sometimes,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,Yes,No,No,No,No,Maybe,No,No
344,36,0,2,46,More than 1000,5,No,No,No,,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
345,33,0,2,45,1-5,0,No,No,No,Rarely,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,Yes,Maybe,No,No,No,Maybe,No,No
346,25,1,1,46,26-100,2,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,No,Yes,Don't know,No,No,Some of them,Yes,No,No,Don't know,No
347,23,0,1,46,100-500,3,No,Yes,Yes,Sometimes,No,No,Don't know,No,No,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Don't know,No
348,54,0,2,46,More than 1000,5,No,Yes,Yes,Never,No,Yes,Don't know,No,Yes,Yes,Don't know,Don't know,No,No,No,Yes,No,No,Don't know,No
349,22,0,1,46,More than 1000,5,No,No,No,Sometimes,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
350,25,2,1,46,More than 1000,5,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Yes,No
351,29,0,1,4,6-25,1,No,No,No,Often,No,No,Don't know,No,No,No,Don't know,Don't know,Maybe,No,Yes,Yes,Maybe,Maybe,Don't know,No
352,27,0,1,46,More than 1000,5,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,No,No,No,Yes,Yes,No
353,30,0,1,45,6-25,1,No,No,No,Never,No,Yes,No,No,No,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No
354,26,0,1,46,More than 1000,5,No,Yes,Yes,Often,No,Yes,Yes,Not sure,Don't know,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No
355,25,1,1,42,6-25,1,No,Yes,No,Sometimes,No,Yes,Yes,Yes,Yes,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,No,No
356,31,0,2,46,500-1000,4,No,No,Yes,Sometimes,No,No,No,Yes,No,Don't know,Yes,Don't know,No,No,Some of them,No,No,No,No,No
357,33,0,2,46,26-100,2,No,Yes,Yes,Sometimes,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
358,34,0,2,46,More than 1000,5,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Don't know,Yes,Yes,Don't know,Maybe,Maybe,No,No,No,No,Don't know,No
359,34,0,2,46,100-500,3,No,No,Yes,Sometimes,Yes,Yes,No,No,No,No,Don't know,Somewhat easy,Yes,Yes,Some of them,Some of them,No,Maybe,Don't know,No
360,29,0,1,46,1-5,0,Yes,No,No,,Yes,Yes,No,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
361,33,1,2,46,6-25,1,No,No,No,,No,Yes,No,No,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,Don't know,No
362,34,0,2,18,26-100,2,Yes,Yes,Yes,Rarely,Yes,Yes,No,No,No,Don't know,Don't know,Somewhat difficult,No,No,Yes,Yes,No,Maybe,Yes,No
363,26,0,1,46,100-500,3,Yes,Yes,Yes,Rarely,Yes,No,No,No,No,Don't know,No,Don't know,Maybe,No,Some of them,Yes,No,Yes,No,No
364,32,0,2,46,More than 1000,5,No,Yes,Yes,Rarely,No,No,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,Some of them,Yes,No,Yes,Yes,No
365,31,0,2,46,6-25,1,No,No,Yes,Often,Yes,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,No,No
366,28,0,1,46,More than 1000,5,No,Yes,Yes,Sometimes,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,No,No
367,35,0,2,46,More than 1000,5,No,Yes,No,,No,Yes,Yes,No,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,Don't know,No
368,36,0,2,46,100-500,3,No,Yes,Yes,Often,No,Yes,No,Yes,No,No,Yes,Very easy,No,No,Some of them,Some of them,No,No,Don't know,No
369,21,0,1,46,100-500,3,No,Yes,Yes,Rarely,No,Yes,Yes,No,No,Don't know,Yes,Don't know,No,No,Yes,Yes,Maybe,Maybe,Don't know,No
370,21,0,1,45,6-25,1,No,No,Yes,Sometimes,No,No,Don't know,Not sure,No,No,No,Very easy,Yes,No,Some of them,No,No,Maybe,No,No
371,22,1,1,46,More than 1000,5,No,No,No,,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat easy,No,No,No,Some of them,No,No,Yes,No
372,41,0,2,46,More than 1000,5,No,Yes,Yes,Often,No,Yes,Yes,No,Yes,Yes,Don't know,Somewhat difficult,Maybe,No,Yes,Some of them,No,Maybe,No,Yes
373,55,0,2,46,More than 1000,5,No,Yes,Yes,Rarely,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No
374,32,1,2,46,26-100,2,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Maybe,Yes,No
375,21,1,1,46,26-100,2,No,Yes,Yes,Rarely,No,Yes,Don't know,Not sure,Don't know,No,Don't know,Somewhat easy,Yes,No,Some of them,No,No,Yes,Don't know,No
376,45,0,2,46,26-100,2,No,No,Yes,Never,Yes,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No
377,27,1,1,46,More than 1000,5,No,No,Yes,Rarely,No,Yes,Yes,Yes,No,No,Yes,Don't know,Yes,Maybe,No,No,No,No,No,No
378,25,1,1,46,26-100,2,No,Yes,Yes,Sometimes,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Yes,No
379,34,1,2,46,More than 1000,5,No,Yes,Yes,Rarely,No,No,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Maybe,Some of them,Some of them,No,No,Yes,No
380,26,1,1,46,More than 1000,5,No,Yes,Yes,Never,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No
381,41,0,2,8,500-1000,4,No,No,Yes,Never,No,Yes,Yes,Not sure,No,Don't know,Don't know,Somewhat easy,No,No,Some of them,Some of them,No,No,Don't know,No
382,27,0,1,46,More than 1000,5,No,No,Yes,Rarely,No,Yes,Yes,No,Yes,Yes,Yes,Don't know,No,No,Some of them,Yes,No,Maybe,Yes,No
383,31,0,2,46,26-100,2,No,Yes,Yes,Sometimes,Yes,Yes,Yes,No,No,No,Don't know,Don't know,No,No,Yes,Yes,No,No,Don't know,No
384,25,0,1,18,26-100,2,No,Yes,Yes,Often,Yes,Yes,No,No,No,No,Yes,Somewhat easy,No,No,Yes,Yes,No,Yes,No,No
385,26,0,1,46,6-25,1,No,No,Yes,Sometimes,No,Yes,Don't know,No,No,No,Don't know,Don't know,Yes,Yes,Some of them,No,No,No,No,No
386,27,1,1,46,More than 1000,5,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Maybe,No,Yes,No,No,Don't know,No
387,42,0,2,30,500-1000,4,No,No,No,Never,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No
388,29,2,1,46,1-5,0,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,No,No,Don't know,Very difficult,Yes,No,Some of them,No,No,Maybe,No,No
389,25,1,1,46,6-25,1,No,No,Yes,Sometimes,No,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Yes,No,Some of them,No,No,Maybe,Don't know,No
390,33,1,2,42,More than 1000,5,No,Yes,Yes,Rarely,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No,Some of them,No,No,Yes,Don't know,No
391,31,2,2,48,1-5,0,Yes,Yes,Yes,Often,No,Yes,No,Yes,No,No,No,Very difficult,Yes,Yes,No,No,Yes,No,No,Yes
392,40,1,2,46,More than 1000,5,No,Yes,Yes,Rarely,No,No,Yes,No,Don't know,Don't know,Don't know,Somewhat easy,Maybe,Maybe,No,No,No,No,Don't know,No
393,31,0,2,46,More than 1000,5,No,No,No,Never,No,Yes,Don't know,No,No,Don't know,Don't know,Somewhat easy,Yes,No,Some of them,No,No,No,Don't know,No
394,26,0,1,8,26-100,2,No,Yes,Yes,Often,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Yes,Yes,No,No,Yes,No
395,24,1,1,46,500-1000,4,No,Yes,No,,No,No,No,No,No,No,No,Very difficult,Yes,Maybe,No,No,No,Maybe,No,Yes
396,29,0,1,46,More than 1000,5,No,No,No,Never,No,No,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
397,48,0,2,45,26-100,2,No,No,No,,No,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,Maybe,No,No,No,No,No,No
398,35,0,2,45,6-25,1,No,No,No,Sometimes,No,Yes,No,No,No,No,Don't know,Very difficult,Maybe,Maybe,Some of them,Yes,No,Maybe,No,Yes
399,32,1,2,46,100-500,3,No,No,No,Never,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No
400,29,0,1,8,100-500,3,No,No,Yes,Sometimes,No,Yes,Don't know,Not sure,Don't know,Don't know,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No
401,26,0,1,46,6-25,1,No,Yes,Yes,Often,No,Yes,Yes,Yes,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Yes,No,No,No,No
402,28,0,1,46,26-100,2,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,No,No
403,23,0,1,46,More than 1000,5,No,No,No,,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,No,No
404,35,0,2,46,100-500,3,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,No,Don't know,Very difficult,Maybe,Maybe,Some of them,Some of them,No,Maybe,No,Yes
405,29,0,1,18,26-100,2,No,Yes,Yes,Sometimes,No,Yes,Don't know,No,No,No,Don't know,Very easy,Maybe,No,Some of them,Some of them,Maybe,Maybe,Don't know,No
406,26,0,1,46,6-25,1,No,Yes,No,,No,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,No,No
407,33,0,2,46,26-100,2,No,Yes,Yes,Never,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Maybe,Yes,Some of them,No,No,Yes,No
408,33,0,2,46,More than 1000,5,No,No,No,,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Yes,No,Some of them,No,No,Maybe,Yes,No
409,22,0,1,6,6-25,1,Yes,No,No,Never,Yes,Yes,Don't know,No,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,No,Don't know,No
410,30,1,1,41,500-1000,4,No,Yes,No,,No,Yes,No,No,No,No,Don't know,Don't know,Yes,Maybe,No,No,No,No,Don't know,No
411,33,0,2,46,More than 1000,5,No,Yes,Yes,Often,Yes,Yes,Yes,Yes,No,No,Don't know,Somewhat easy,Yes,No,No,No,No,No,No,No
412,31,1,2,46,More than 1000,5,No,Yes,Yes,Rarely,No,No,Don't know,Not sure,No,Don't know,Don't know,Very difficult,Yes,Maybe,No,No,No,Maybe,No,No
413,21,0,1,46,More than 1000,5,No,Yes,No,Never,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,Maybe,Don't know,Yes
414,31,2,2,45,More than 1000,5,No,Yes,Yes,Sometimes,No,Yes,Don't know,No,No,No,Don't know,Don't know,Yes,Maybe,No,No,No,Yes,Yes,No
415,26,1,1,46,100-500,3,No,No,Yes,Sometimes,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat difficult,No,No,Some of them,Some of them,No,No,Yes,No
416,30,0,1,46,6-25,1,No,Yes,No,Often,No,Yes,Don't know,No,No,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Don't know,No
417,30,1,1,18,100-500,3,No,Yes,Yes,Sometimes,No,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,No,No
418,23,0,1,21,6-25,1,No,No,No,,No,Yes,No,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,No,No
419,34,0,2,15,6-25,1,No,No,No,Never,No,Yes,No,No,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,Maybe,Don't know,No
420,55,0,2,46,1-5,0,No,Yes,Yes,Sometimes,Yes,Yes,No,Yes,No,Don't know,Don't know,Don't know,Yes,Maybe,No,No,No,No,No,Yes
421,28,0,1,18,1-5,0,No,Yes,Yes,Rarely,Yes,Yes,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No
422,26,0,1,47,26-100,2,No,No,No,,Yes,Yes,Don't know,No,Don't know,No,Don't know,Don't know,No,No,Some of them,No,No,Yes,Don't know,No
423,28,0,1,30,6-25,1,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,No,Don't know,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No
424,32,0,2,45,6-25,1,No,Yes,Yes,Sometimes,No,Yes,No,No,No,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No
425,28,1,1,46,More than 1000,5,No,No,Yes,Rarely,No,No,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No
426,21,0,1,46,6-25,1,No,No,No,Sometimes,No,No,Don't know,Not sure,No,Yes,Yes,Don't know,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No
427,24,0,1,46,100-500,3,No,Yes,Yes,Sometimes,No,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Yes,No,Some of them,Some of them,No,Maybe,No,Yes
428,26,1,1,46,More than 1000,5,No,No,No,,No,No,Yes,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No
429,23,0,1,46,More than 1000,5,No,No,No,,No,No,Yes,No,No,No,Don't know,Don't know,No,No,Yes,No,No,Yes,Don't know,No
430,24,1,1,46,More than 1000,5,No,No,No,,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,Yes,Yes,Yes,No
431,28,0,1,8,100-500,3,Yes,No,No,Never,Yes,Yes,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No
432,24,1,1,46,6-25,1,No,Yes,Yes,Rarely,No,Yes,No,No,No,No,Don't know,Very easy,Yes,No,No,Some of them,No,Yes,Yes,No
433,33,0,2,46,1-5,0,Yes,No,Yes,Often,Yes,Yes,No,No,No,No,Yes,Somewhat easy,Yes,Maybe,Some of them,Some of them,Yes,Yes,Don't know,No
434,34,0,2,46,26-100,2,No,No,No,Sometimes,No,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,No,Yes,Yes,No,Maybe,Don't know,No
435,27,1,1,46,26-100,2,No,No,Yes,Sometimes,No,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No
436,28,0,1,46,6-25,1,No,No,No,Never,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No
437,26,0,1,46,More than 1000,5,No,No,No,,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,Yes
438,20,0,0,1,100-500,3,No,No,No,,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Yes,Very easy,No,No,Some of them,Yes,No,No,Don't know,No
439,23,1,1,46,26-100,2,No,No,Yes,Sometimes,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
440,29,0,1,46,1-5,0,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
441,26,0,1,45,6-25,1,No,Yes,No,Sometimes,No,Yes,No,No,No,No,Don't know,Don't know,Maybe,Maybe,No,No,No,Maybe,No,No
442,36,0,2,46,More than 1000,5,No,No,No,Rarely,Yes,Yes,Yes,No,Yes,Don't know,Don't know,Somewhat easy,Maybe,No,No,No,No,No,Don't know,No
443,41,0,2,46,More than 1000,5,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,No,Some of them,Yes,Maybe,Yes,Yes,Yes
444,33,1,2,46,100-500,3,No,No,No,,Yes,Yes,Yes,No,Don't know,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,Yes,No
445,23,0,1,8,6-25,1,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No
446,39,0,2,46,More than 1000,5,No,Yes,No,Often,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Yes,No,Some of them,Some of them,No,Maybe,No,Yes
447,34,0,2,46,More than 1000,5,No,Yes,No,,No,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,Yes
448,26,1,1,46,100-500,3,No,No,Yes,Sometimes,No,Yes,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Maybe,Some of them,Some of them,No,No,No,Yes
449,24,0,1,46,26-100,2,No,No,Yes,Rarely,No,Yes,Yes,Yes,Yes,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No
450,37,0,2,8,More than 1000,5,No,Yes,Yes,Rarely,No,No,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No
451,43,0,2,46,6-25,1,Yes,Yes,Yes,Often,Yes,Yes,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
452,40,2,2,46,More than 1000,5,No,Yes,No,Never,No,Yes,Yes,Yes,Yes,Don't know,Yes,Don't know,Yes,Maybe,No,Some of them,No,Maybe,Yes,No
453,30,0,1,46,More than 1000,5,No,Yes,Yes,Often,No,Yes,Yes,Yes,Yes,No,Don't know,Very difficult,Yes,No,Some of them,No,No,No,No,Yes
454,34,0,2,46,6-25,1,No,No,Yes,Sometimes,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Yes,Yes,Some of them,No,No,No,Don't know,No
455,27,0,1,46,100-500,3,No,Yes,Yes,Sometimes,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Yes,No,No,No,No,Yes,Don't know,No
456,36,0,2,46,More than 1000,5,No,No,No,Sometimes,No,Yes,Don't know,No,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,Don't know,No
457,27,0,1,6,6-25,1,No,No,No,Rarely,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,No,No
458,35,0,2,29,100-500,3,No,Yes,No,Never,No,Yes,Yes,No,No,No,Yes,Don't know,Yes,No,No,No,No,Maybe,Don't know,No
459,32,0,2,45,6-25,1,No,No,No,Never,No,Yes,No,No,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Yes,Yes,No
460,37,0,2,46,500-1000,4,No,No,No,,No,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No
461,29,0,1,45,26-100,2,No,No,No,,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
462,33,1,2,46,500-1000,4,No,No,No,Never,No,Yes,Yes,Not sure,Yes,Yes,Don't know,Very easy,Maybe,No,Some of them,Yes,No,No,Yes,No
463,28,0,1,46,6-25,1,No,No,No,Sometimes,Yes,Yes,No,Yes,No,No,Don't know,Somewhat easy,Yes,Maybe,Some of them,No,No,No,Don't know,No
464,26,1,1,46,26-100,2,No,Yes,No,Never,No,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Maybe,Maybe,Some of them,No,No,Maybe,No,No
465,27,0,1,46,6-25,1,No,Yes,Yes,Sometimes,Yes,Yes,Don't know,No,Yes,Don't know,Don't know,Somewhat easy,Yes,No,Some of them,Yes,No,Maybe,Yes,No
466,38,0,2,45,26-100,2,Yes,No,Yes,Sometimes,Yes,Yes,No,No,No,No,Yes,Somewhat easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No
467,57,0,2,46,More than 1000,5,No,Yes,Yes,Rarely,No,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,No,No
468,28,0,1,45,More than 1000,5,No,No,Yes,Sometimes,No,Yes,No,No,No,No,No,Very difficult,Yes,Maybe,No,Some of them,No,Maybe,No,No
469,26,0,1,16,6-25,1,No,No,No,Never,No,Yes,No,Yes,No,No,Don't know,Don't know,Maybe,No,Yes,Yes,Maybe,Maybe,No,No
470,42,1,2,29,100-500,3,No,No,Yes,Rarely,Yes,Yes,Yes,Yes,No,No,Yes,Don't know,Yes,No,Some of them,No,No,Maybe,Don't know,No
471,31,0,2,46,100-500,3,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,Yes,No
472,58,0,2,46,More than 1000,5,No,No,Yes,Rarely,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,Yes,No
473,29,0,1,46,6-25,1,No,No,No,Sometimes,No,Yes,Don't know,No,No,No,Don't know,Very difficult,Yes,No,No,No,No,Maybe,No,No
474,39,1,2,45,More than 1000,5,No,No,Yes,Sometimes,No,Yes,Yes,Yes,No,Yes,Don't know,Don't know,Yes,No,Some of them,Some of them,No,Maybe,No,Yes
475,34,0,2,46,6-25,1,No,No,No,Sometimes,Yes,Yes,Don't know,No,No,No,Don't know,Very difficult,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No
476,57,0,2,46,More than 1000,5,No,No,Yes,Sometimes,No,Yes,Yes,Not sure,Yes,Yes,Don't know,Don't know,Maybe,Maybe,No,No,No,Maybe,Don't know,No
477,27,0,1,18,6-25,1,No,Yes,Yes,Sometimes,No,Yes,No,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe,Some of them,No,No,No,No,Yes
478,23,0,1,18,26-100,2,Yes,Yes,Yes,Often,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,Maybe,Yes,Yes,Maybe,Yes,Don't know,No
479,18,0,0,15,500-1000,4,No,No,No,,Yes,No,Don't know,No,No,Don't know,Don't know,Very easy,Yes,No,No,No,No,Maybe,Don't know,No
480,30,1,1,46,100-500,3,No,No,No,,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No
481,23,0,1,46,26-100,2,No,No,No,Never,No,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes,No
482,43,0,2,46,More than 1000,5,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Maybe,No,No,No,Yes,Don't know,No
